L_target,system,seed,ID_RMSE,OOD_RMSE,L_cert
2.0,duffing,42,0.011072867023381257,0.014232076216244916,1.757238779016741
2.0,duffing,43,0.011200842445105524,0.014445787114383022,1.9617373164074752
2.0,duffing,44,0.01165291053078979,0.014197123507726315,2.117443782797199
2.0,duffing,45,0.012975337657137908,0.01591584046593141,1.9057344156706217
2.0,duffing,46,0.012340069250141222,0.0155436874578744,2.1214773612633664
2.0,pendulum,42,0.012651895365185241,0.023669219938261182,1.9194510750028222
2.0,pendulum,43,0.013881571707154724,0.024636228136306906,1.8400489524557262
2.0,pendulum,44,0.012032892785375997,0.024683170142616048,2.1208008756158834
2.0,pendulum,45,0.03126050727748588,0.03280306244697741,1.2649572261503224
2.0,pendulum,46,0.013717254615961252,0.02426479244937888,1.372738107913035
