system,model,n_seeds,ID_RMSE_mean,ID_RMSE_std,OOD_RMSE_mean,OOD_RMSE_std,OOD_degradation_%,L_cert
msd(主),DeepONet,5,0.012331974376011155,0.0014514572387998449,0.011559723106795936,0.0008118483740555255,-6.262186781035207,
msd(主),LC-DeepONet,5,0.011861071960525948,0.0014765824786550116,0.012002561339781448,0.001258229564405,1.1928886337287354,4.164836714182372
duffing,DeepONet,1,0.010682370933774003,,,,,
duffing,LC-DeepONet,1,0.009093231747118055,,,,,4.402501195461448
pendulum,DeepONet,1,0.011248026733145256,,,,,
pendulum,LC-DeepONet,1,0.01248455947299849,,,,,3.1704103659798606
