model,S_emp,ID_RMSE,L_cert,eps_L_emp,S_emp_le_Lcert,plant_bound_Lhat_plus_epsL
MLP,0.3095831573009491,0.010635890428313676,,,,
LSTM,0.2142951637506485,0.013423137528185787,,,,
Transformer,0.21467897295951843,0.022612340023463743,,,,
FNO,2.2578189373016357,0.03575119949813574,,,,
DeepONet,0.2741963565349579,0.011987466893584528,,,,
LC-DeepONet,0.2596023678779602,0.01147842153674041,3.9181095149665786,0.04348891228437424,True,3.961598427250953
