config,use_lip,use_dyn,ID_RMSE,OOD_RMSE,S_emp,L_cert
A(基线),False,False,0.011394709536334936,0.014303570473286575,0.2567370533943176,
B(+Lip),True,False,0.010913864210398682,0.013584724527114154,0.2355128675699234,4.207358209304998
C(+Dyn),False,True,0.012310525147078288,0.012161709574739254,0.2285444736480713,
D(完整LC),True,True,0.011020131558953374,0.013140207996914325,0.26140713691711426,3.9288495568685904
