seed,config,surro_init,surro_max,hinge_active_epochs,branch_prod,C_T_fro,C_T_spec,L_cert_fro,L_cert_spec,ID_RMSE
42,LC(D),1.5770100802183151,3.110184371471405,0,3.943967328546322,0.9326640367507935,0.7854027152061462,3.6783964894552557,3.0976026485246124,0.014381190128841096
42,B(+lip),1.736001417040825,3.1971346139907837,0,,,,,,0.010914178874611182
43,LC(D),1.7405181974172592,3.054693818092346,0,3.7170174884855105,0.9550585746765137,0.8183420896530151,3.549969424600646,3.041791858804035,0.012072025827722627
43,B(+lip),1.622018650174141,3.701025068759918,0,,,,,,0.011728109158945604
44,LC(D),1.6541677862405777,3.78115114569664,0,5.2620547251407555,0.8202242255210876,0.6917219161987305,4.316064761578156,3.6398785776169476,0.011104305923011164
44,B(+lip),1.5822737514972687,3.2626165747642517,0,,,,,,0.013800778110304312
45,LC(D),1.5263203382492065,3.238509386777878,0,3.757736298271473,1.02414071559906,0.8446508646011353,3.848450741544309,3.173975213278069,0.012083321999667529
45,B(+lip),1.8720154166221619,3.3794334828853607,0,,,,,,0.016375817800918475
46,LC(D),1.7281553447246552,3.550167977809906,0,3.8997252305375105,1.0673377513885498,0.9273783564567566,4.162323958595101,3.616520774928823,0.011263193260556185
46,B(+lip),1.74825057387352,3.7511019110679626,0,,,,,,0.011360532243692524
