seed,design,delay_steps,mult,k_c,M_design,M_true,M_true_big,track_err_L2,overshoot,diverged
42,LC-certificate,1,0.25,0.060244593179175014,0.775,0.9686429259882977,0.9623781506816154,0.9773251311788406,1.0000649476779395,False
42,LC-certificate,1,0.5,0.12048918635835003,0.55,0.9372858519765954,0.9247563013632307,0.9545633581452072,1.000129250097893,False
42,LC-certificate,1,1.0,0.24097837271670006,0.09999999999999998,0.8745717039531907,0.8495126027264616,0.9102812094519931,1.0002559236196666,False
42,LC-certificate,1,2.0,0.4819567454334001,-0.8,0.7491434079063815,0.6990252054529231,0.8266818957923778,1.0005015765114265,False
42,LC-certificate,1,4.0,0.9639134908668002,-2.6,0.4982868158127629,0.39805041090584625,0.6791073688469332,1.0009623536061116,False
42,LC-certificate,1,8.0,1.9278269817336005,-6.2,-0.003426368374474187,-0.2038991781883075,0.45797433350341593,1.001763759711395,False
42,LC-certificate,1,16.0,3.855653963467201,-13.4,-1.0068527367489484,-1.407798356376615,0.2551631459154014,1.002901448919573,False
42,LC-certificate,1,32.0,7.711307926934402,-27.8,-3.0137054734978967,-3.81559671275323,0.2604584697074882,1.003435952889893,False
42,LC-certificate,1,64.0,15.422615853868804,-56.6,-7.0274109469957935,-8.63119342550646,0.4814610093882249,0.9984349371108874,False
42,LC-certificate,1,128.0,30.845231707737607,-114.2,-15.054821893991587,-18.26238685101292,0.5135150401244076,0.9703678560860892,False
42,DeepONet-optimistic,1,,3.541057983951904,0.09999999999999998,-0.8431067656523228,-1.211337862365255,0.2712750954321,1.002757076463507,False
42,LC-certificate,100,0.25,0.060244593179175014,0.775,0.9686429259882977,0.9623781506816154,0.9807326258884131,1.0001239743313368,False
42,LC-certificate,100,0.5,0.12048918635835003,0.55,0.9372858519765954,0.9247563013632307,0.9612041305287994,1.000247895408295,False
42,LC-certificate,100,1.0,0.24097837271670006,0.09999999999999998,0.8745717039531907,0.8495126027264616,0.9228796850237169,1.0004955777988218,False
42,LC-certificate,100,2.0,0.4819567454334001,-0.8,0.7491434079063815,0.6990252054529231,0.8492727073922445,1.0009903035245438,False
42,LC-certificate,100,4.0,0.9639134908668002,-2.6,0.4982868158127629,0.39805041090584625,0.7150981851735324,1.0019771987405055,False
42,LC-certificate,100,8.0,1.9278269817336005,-6.2,-0.003426368374474187,-0.2038991781883075,0.5058432794431653,1.0039407641178215,False
42,LC-certificate,100,16.0,3.855653963467201,-13.4,-1.0068527367489484,-1.407798356376615,0.357811185300253,1.0078269937616038,False
42,LC-certificate,100,32.0,7.711307926934402,-27.8,-3.0137054734978967,-3.81559671275323,0.5064334367861532,1.015437282076826,False
42,LC-certificate,100,64.0,15.422615853868804,-56.6,-7.0274109469957935,-8.63119342550646,1.1364653698320302,2.406874466854462,False
42,LC-certificate,100,128.0,30.845231707737607,-114.2,-15.054821893991587,-18.26238685101292,2.899766081161583,5.113538059755882,False
42,DeepONet-optimistic,100,,3.541057983951904,0.09999999999999998,-0.8431067656523228,-1.211337862365255,0.35933252046055714,1.0071965358680164,False
43,LC-certificate,1,0.25,0.05908739696283598,0.775,0.9692452420715665,0.9631008024481138,0.9777663913749295,1.000063706225146,False
43,LC-certificate,1,0.5,0.11817479392567196,0.55,0.9384904841431331,0.9262016048962277,0.9554301507549051,1.0001267917222534,False
43,LC-certificate,1,1.0,0.2363495878513439,0.09999999999999998,0.876980968286266,0.8524032097924554,0.9119517857420354,1.00025110473647,False
43,LC-certificate,1,2.0,0.4726991757026878,-0.8,0.7539619365725321,0.7048064195849109,0.8297715303576905,1.0004923282089297,False
43,LC-certificate,1,4.0,0.9453983514053756,-2.6,0.5079238731450643,0.4096128391698217,0.6843019250516346,1.0009453988725703,False
43,LC-certificate,1,8.0,1.8907967028107513,-6.2,0.015847746290128528,-0.18077432166035656,0.4647711858943251,1.0017358911820555,False
43,LC-certificate,1,16.0,3.7815934056215026,-13.4,-0.9683045074197429,-1.3615486433207131,0.25850287771537866,1.0028688841640172,False
43,LC-certificate,1,32.0,7.563186811243005,-27.8,-2.936609014839486,-3.7230972866414263,0.2572682300932007,1.0034559076867056,False
43,LC-certificate,1,64.0,15.12637362248601,-56.6,-6.873218029678972,-8.446194573282853,0.47483903720142717,0.9987593136800722,False
43,LC-certificate,1,128.0,30.25274724497202,-114.2,-14.746436059357944,-17.892389146565705,0.5145011554381815,0.9717792735806361,False
43,DeepONet-optimistic,1,,3.4528792317338004,0.09999999999999998,-0.7972100716313493,-1.1562715476311487,0.27674863933017574,1.0027137643778845,False
43,LC-certificate,100,0.25,0.05908739696283598,0.775,0.9692452420715665,0.9631008024481138,0.9811100852960666,1.0001215934968324,False
43,LC-certificate,100,0.5,0.11817479392567196,0.55,0.9384904841431331,0.9262016048962277,0.9619498896049654,1.0002431357654908,False
43,LC-certificate,100,1.0,0.2363495878513439,0.09999999999999998,0.876980968286266,0.8524032097924554,0.9243336494053277,1.0004860666180468,False
43,LC-certificate,100,2.0,0.4726991757026878,-0.8,0.7539619365725321,0.7048064195849109,0.8520232584794042,1.0009713135824403,False
43,LC-certificate,100,4.0,0.9453983514053756,-2.6,0.5079238731450643,0.4096128391698217,0.7199138631176621,1.0019393485349974,False
43,LC-certificate,100,8.0,1.8907967028107513,-6.2,0.015847746290128528,-0.18077432166035656,0.5122832690194875,1.0038655824288631,False
43,LC-certificate,100,16.0,3.7815934056215026,-13.4,-0.9683045074197429,-1.3615486433207131,0.3575913277658021,1.0076787053292986,False
43,LC-certificate,100,32.0,7.563186811243005,-27.8,-2.936609014839486,-3.7230972866414263,0.5002795206043753,1.0151488632382957,False
43,LC-certificate,100,64.0,15.12637362248601,-56.6,-6.873218029678972,-8.446194573282853,1.0977896485152694,2.3149641790203894,False
43,LC-certificate,100,128.0,30.25274724497202,-114.2,-14.746436059357944,-17.892389146565705,2.8677433517139885,5.028237448361731,False
43,DeepONet-optimistic,100,,3.4528792317338004,0.09999999999999998,-0.7972100716313493,-1.1562715476311487,0.36101460339965197,1.0070195629496572,False
44,LC-certificate,1,0.25,0.05652982647777911,0.775,0.9705764474587713,0.9646979670455041,0.9787421805579611,1.0000609615908858,False
44,LC-certificate,1,0.5,0.11305965295555823,0.55,0.9411528949175424,0.9293959340910083,0.9573480531663292,1.000121354984948,False
