config,ID_mean,ID_std,OOD_mean,OOD_std,S_emp_mean,S_emp_std,L_cert_mean,L_cert_std,n
A (bare DeepONet),0.01184336545554698,0.0007027876342705864,0.013677766862139725,0.00045775813989887363,0.2648737967014313,0.013833211851321189,,,5
B (+Lip),0.01364825619392889,0.002409942129622156,0.014795185412340244,0.0023087994657729947,0.2800136536359787,0.02978038066880619,4.055958508707073,0.3680723445546468,5
C (+Dyn),0.012706033731555136,0.004204951475566596,0.01400518467466357,0.004133882467719172,0.2675353497266769,0.02559973060494004,,,5
D (full LC),0.01159915150164176,0.0007062357860352299,0.012937049258360273,0.0010087692932063078,0.273693710565567,0.027776330759100274,4.0267473930630215,0.3082077282093871,5
