system,model,seed,ID_RMSE,OOD_RMSE,L_cert
duffing,LC-DeepONet,42,0.011114837148095916,0.014574170595757675,3.8205691460917475
duffing,LC-DeepONet,43,0.009802045187666777,0.01196607965664488,4.016844748789004
duffing,LC-DeepONet,44,0.010421647508347733,0.01259402876199628,4.032554399117251
duffing,LC-DeepONet,45,0.011825717801938005,0.013436000620420554,4.006447671768563
duffing,LC-DeepONet,46,0.011880812014777453,0.01328351863951353,4.73700375034164
duffing,DeepONet,42,0.011532487891498317,0.013471489297814929,
duffing,DeepONet,43,0.011916703352639491,0.013736970619094293,
duffing,DeepONet,44,0.012381668791051556,0.014883430888471218,
duffing,DeepONet,45,0.012580840351905716,0.01363572808843937,
duffing,DeepONet,46,0.01733722287134379,0.02079417617457221,
duffing,FNO,42,0.033599697601206076,0.04287624290191569,
duffing,FNO,43,0.03136780446361466,0.04886614511370664,
duffing,FNO,44,0.03211502076609043,0.045922039943501386,
duffing,FNO,45,0.03238849343303216,0.04536201632565861,
duffing,FNO,46,0.03249299567653638,0.04279916117177388,
pendulum,LC-DeepONet,42,0.014168158995146715,0.024148231705631296,3.4111357627472563
pendulum,LC-DeepONet,43,0.014183730816251069,0.026057242910871477,3.315422783039804
pendulum,LC-DeepONet,44,0.013201314222505518,0.023848092446567423,3.270711852465219
pendulum,LC-DeepONet,45,0.01258933787020452,0.024309971160887747,3.479162275617405
pendulum,LC-DeepONet,46,0.012552442637747182,0.025465024097088975,3.3609862746454287
pendulum,DeepONet,42,0.014447696413778402,0.023440083967263447,
pendulum,DeepONet,43,0.013268365991864615,0.024885209116356975,
pendulum,DeepONet,44,0.013520920420164862,0.024168555143997888,
pendulum,DeepONet,45,0.012569461064156365,0.024416569342657606,
pendulum,DeepONet,46,0.012824451109748896,0.02403814221448585,
pendulum,FNO,42,0.018195123865907242,0.024250936318739216,
pendulum,FNO,43,0.018758185687249358,0.024302727038229013,
pendulum,FNO,44,0.018127241518864454,0.024067542684468687,
pendulum,FNO,45,0.018634280350886316,0.02459926927550254,
pendulum,FNO,46,0.01812607265532438,0.02554811296212266,
