design,delay_steps,mult,n,k_c_mean,k_c_std,M_design_mean,M_true_mean,M_true_std,M_true_big_mean,M_true_big_std,err_mean,err_std,err_min,err_max,diverged
DeepONet-optimistic,1,,5,3.568574723539798,0.12283772106112761,0.09999999999999998,-0.8574291204776285,0.06393655110736317,-1.2285216555635938,0.07671032350788605,0.2699843171390446,0.006775748128168438,0.2588938724276147,0.27674863933017574,0
DeepONet-optimistic,100,,5,3.568574723539798,0.12283772106112761,0.09999999999999998,-0.8574291204776285,0.06393655110736317,-1.2285216555635938,0.07671032350788605,0.35935848583122854,0.0012752693058227093,0.35758744416017,0.36101460339965197,0
LC-certificate,1,0.25,5,0.058415786086080404,0.0013882666453554251,0.775,0.9695948128937456,0.000722587333554032,0.9635202134171734,0.0008669518008025368,0.9780226465506991,0.0005295742358177081,0.9773251311788406,0.9787421805579611,0
LC-certificate,1,0.5,5,0.11683157217216081,0.0027765332907108502,0.55,0.9391896257874912,0.0014451746671080247,0.9270404268343471,0.0017339036016051279,0.955933849316662,0.001040686827694029,0.9545633581452072,0.9573480531663292,0
LC-certificate,1,1.0,5,0.23366314434432162,0.0055530665814217004,0.09999999999999998,0.8783792515749823,0.0028903493342161512,0.8540808536686944,0.003467807203210041,0.9129238795593231,0.0020074108140369575,0.9102812094519931,0.9156526727797936,0
LC-certificate,1,2.0,5,0.46732628868864323,0.011106133162843401,-0.8,0.7567585031499648,0.0057806986684323354,0.7081617073373886,0.006935614406420179,0.8315747383723007,0.003719508086313523,0.8266818957923778,0.8366345499418876,0
LC-certificate,1,4.0,5,0.9346525773772865,0.022212266325686802,-2.6,0.5135170062999297,0.011561397336864659,0.4163234146747773,0.01387122881284038,0.6873554070459647,0.006281597865397975,0.6791073688469332,0.6959153355302692,0
LC-certificate,1,8.0,5,1.869305154754573,0.044424532651373604,-6.2,0.027034012599859426,0.023122794673729224,-0.16735317065044542,0.02774245762568077,0.4688491350594088,0.00832587299156086,0.45797433350341593,0.4802505256257583,0
LC-certificate,1,16.0,5,3.738610309509146,0.08884906530274721,-13.4,-0.9459319748002812,0.04624558934745846,-1.3347063413008908,0.05548491525136152,0.26072430975375305,0.00437584269010251,0.2551631459154014,0.26686050211188905,0
LC-certificate,1,32.0,5,7.477220619018292,0.17769813060549441,-27.8,-2.8918639496005625,0.09249117869491681,-3.6694126826017817,0.11096983050272304,0.25555439996348606,0.0036506712520986114,0.2506918500019926,0.2604584697074882,0
LC-certificate,1,64.0,5,14.954441238036583,0.35539626121098883,-56.6,-6.783727899201125,0.18498235738983362,-8.338825365203563,0.22193966100544632,0.47064771781392595,0.008393355486425357,0.45901426784946514,0.4814610093882249,0
LC-certificate,1,128.0,5,29.908882476073167,0.7107925224219777,-114.2,-14.56745579840225,0.36996471477966725,-17.677650730407127,0.44387932201089264,0.5153837163750475,0.0015938533964750625,0.5135150401244076,0.5177441511508118,0
LC-certificate,100,0.25,5,0.058415786086080404,0.0013882666453554251,0.775,0.9695948128937456,0.000722587333554032,0.9635202134171734,0.0008669518008025368,0.981329245393618,0.00045294808477697895,0.9807326258884131,0.9819446373654168,0
LC-certificate,100,0.5,5,0.11683157217216081,0.0027765332907108502,0.55,0.9391896257874912,0.0014451746671080247,0.9270404268343471,0.0017339036016051279,0.96238308192316,0.0008951494156600434,0.9612041305287994,0.9635993949135218,0
LC-certificate,100,1.0,5,0.23366314434432162,0.0055530665814217004,0.09999999999999998,0.8783792515749823,0.0028903493342161512,0.8540808536686944,0.003467807203210041,0.9251790273280699,0.0017462602994763386,0.9228796850237169,0.9275523650752951,0
LC-certificate,100,2.0,5,0.46732628868864323,0.011106133162843401,-0.8,0.7567585031499648,0.0057806986684323354,0.7081617073373886,0.006935614406420179,0.8536261084162826,0.0033081315434793732,0.8492727073922445,0.8581246306282831,0
LC-certificate,100,4.0,5,0.9346525773772865,0.022212266325686802,-2.6,0.5135170062999297,0.011561397336864659,0.4163234146747773,0.01387122881284038,0.7227376721427264,0.005814446208495762,0.7150981851735324,0.7306562637984421,0
LC-certificate,100,8.0,5,1.869305154754573,0.044424532651373604,-6.2,0.027034012599859426,0.023122794673729224,-0.16735317065044542,0.02774245762568077,0.516160079718136,0.007905268673351909,0.5058432794431653,0.5269935652187742,0
LC-certificate,100,16.0,5,3.738610309509146,0.08884906530274721,-13.4,-0.9459319748002812,0.04624558934745846,-1.3347063413008908,0.05548491525136152,0.35782109565619186,0.00030423748418943275,0.3575913277658021,0.3583413542466684,0
LC-certificate,100,32.0,5,7.477220619018292,0.17769813060549441,-27.8,-2.8918639496005625,0.09249117869491681,-3.6694126826017817,0.11096983050272304,0.49670852204271904,0.007383829919789711,0.48667377960153396,0.5064334367861532,0
LC-certificate,100,64.0,5,14.954441238036583,0.35539626121098883,-56.6,-6.783727899201125,0.18498235738983362,-8.338825365203563,0.22193966100544632,1.0763081192090707,0.04515366011199867,1.0156512532747972,1.1364653698320302,0
LC-certificate,100,128.0,5,29.908882476073167,0.7107925224219777,-114.2,-14.56745579840225,0.36996471477966725,-17.677650730407127,0.44387932201089264,2.8469878618649345,0.04130447919376258,2.789270639391243,2.899766081161583,0
