model,params,train_time_s_mean,ID_RMSE_mean,ID_RMSE_std,ID_MAE_mean,ID_MAE_std,ID_NRMSE_mean,ID_NRMSE_std,OOD_RMSE_mean,OOD_RMSE_std,OOD_MAE_mean,OOD_MAE_std,infer_ms
MLP,98880,4.292488431930542,0.01022692134169664,0.00043770915688359,0.006697811745107174,0.00023001918151108013,0.07857474239191738,0.0033629753369165596,0.011246259929962046,0.00023455632053747286,0.00735092032700777,0.00017294994504197462,0.0003181274408348145
LSTM,199297,43.95584378242493,0.015730161044949127,0.0045190524486441825,0.010468252468854189,0.0029733691420620496,0.1208568356589316,0.03472045693360852,0.021096186797593286,0.003870758305702406,0.011348843947052956,0.0025975105066040035,0.0029777099612715574
Transformer,267841,63.07109160423279,0.0305891961581508,0.006237673390985124,0.02097005061805248,0.0038172795871338275,0.2350206995631182,0.04792484105879147,0.03601126950655431,0.006108251322218723,0.023812879621982575,0.003933845913824303,0.007125231933358123
FNO,123297,19.534384536743165,0.03601487595814,0.0008848292286292189,0.018518850952386857,0.0007799616986309483,0.2767068901908888,0.006798255934258072,0.04810352175311401,0.0019813146977054777,0.01985328644514084,0.0007809672454170901,0.001009729002632298
DeepONet,181696,4.931094980239868,0.012018996918263487,0.0014561442073056615,0.007455871533602476,0.0008667759299480741,0.09234348785018898,0.01118774185815176,0.01346775990892696,0.0008189741506677602,0.007949052844196558,0.0007908383280104961,0.000158288573359755
LC-DeepONet,181696,3.7585421085357664,0.011162160098929707,0.0009818708967674612,0.00686815595254302,0.0006949950905733487,0.08576030117048268,0.00754383946037322,0.012765882208319878,0.0011009786934692669,0.0073109052143990995,0.0006727033421621855,0.00021730956945020807
