model,seed,ID_RMSE,OOD_RMSE
DeepONet,42,0.010498237469517684,0.010578233413877203
DeepONet,43,0.013977466185614382,0.012588444333960516
DeepONet,44,0.012116964186661854,0.011080379375093314
DeepONet,45,0.011061211200063056,0.011086298008159147
DeepONet,46,0.014005992838198797,0.0124652604028895
LC-DeepONet,42,0.014599410605114105,0.014356867444738675
LC-DeepONet,43,0.011619061279274432,0.01099469856104908
LC-DeepONet,44,0.010167392349259759,0.010851838381472677
LC-DeepONet,45,0.011737000886286415,0.0118214935566107
LC-DeepONet,46,0.011182494682695027,0.011987908755036107
