mult,k_c,M_margin,track_err_L2,overshoot,diverged,design
0.25,0.060244593179175014,0.775,0.9802617057059723,1.0001239743313368,False,LC-certificate x mult
0.5,0.12048918635835003,0.55,0.9607629182136157,1.000247895408295,False,LC-certificate x mult
1.0,0.24097837271670006,0.09999999999999998,0.9225003083483259,1.0004955777988218,False,LC-certificate x mult
2.0,0.4819567454334001,-0.8,0.8490271751594906,1.0009903035245438,False,LC-certificate x mult
4.0,0.9639134908668002,-2.6,0.7151648746227722,1.0019771987405055,False,LC-certificate x mult
8.0,1.9278269817336005,-6.2,0.5067251949837135,1.0039407641178215,False,LC-certificate x mult
16.0,3.855653963467201,-13.4,0.3600828410115056,1.3179197172193986,False,LC-certificate x mult
32.0,7.711307926934402,-27.8,0.5072513641517352,1.015437282076826,False,LC-certificate x mult
64.0,15.422615853868804,-56.6,1.1347959480326746,2.401821089337635,False,LC-certificate x mult
128.0,30.845231707737607,-114.2,2.8997451613398106,5.113538059755882,False,LC-certificate x mult
,3.541057983951904,0.09999999999999998,0.36152372687575807,1.292086164346526,False,DeepONet S_emp design
