model,T_test,RMSE_mean,RMSE_std,n
DeepONet,4.0,0.114912473169232,0.01265972137274564,5
DeepONet,6.0,0.14698585776126505,0.010883546364742253,5
FNO,4.0,0.15288686201951704,0.02066445355173998,5
FNO,6.0,0.18501277969151464,0.030119943754019267,5
LC-DeepONet,4.0,0.11435400770308801,0.013268434274294348,5
LC-DeepONet,6.0,0.14724235827340065,0.010816693563806802,5
