model,S_emp_mean,S_emp_std,ID_mean,ID_std,L_cert_mean,L_cert_std,eps_L_mean,eps_L_std,n
DeepONet,0.2688671380281448,0.020778028829360987,0.01173433814494269,0.0010722314086616786,,,,,5
FNO,2.5468159914016724,0.7253465683573898,0.03694684357384701,0.0008078181796098036,,,,,5
LC-DeepONet,0.265442556142807,0.011566352365988833,0.011870887985265177,0.0025726214301755204,3.8924336592415374,0.2138175057848257,0.03975759521126747,0.007952391236898598,5
LSTM,0.23725670278072358,0.023592983645817807,0.01310839666387376,0.003009170497505455,,,,,5
MLP,0.30274102091789246,0.01573615353281961,0.01025303247249557,0.0006033096296999106,,,,,5
Transformer,0.24806289076805116,0.016110032268162405,0.029020719301815778,0.008209421097178446,,,,,5
