lambda_dyn,seed,ID_RMSE,OOD_RMSE,RMSE_4s,L_cert
0.0,42,0.011394709536334936,0.014303570473286575,0.1016446432467291,4.103049095390272
0.0,43,0.010914178874611182,0.012312336537677234,0.10188026419009895,3.81428965093094
0.0,44,0.019503825275232804,0.022066788898499057,0.10412912934193488,4.110264603145517
0.0,45,0.012426918966488726,0.01320501470321351,0.10270623702907672,4.083037576999797
0.0,46,0.010633649439621562,0.012181441187238986,0.10264127269336686,4.381251558164185
0.01,42,0.011121193622148034,0.012391922380467305,0.10225020093420101,4.448304416455159
0.01,43,0.01144989883592113,0.012366632543869018,0.1018984995400672,3.706730398842123
0.01,44,0.01129469375402249,0.012357782298041641,0.10254392158257722,4.249857623665185
0.01,45,0.013376953272214508,0.014346255334972852,0.1034889231737401,4.227044684380787
0.01,46,0.012469932036432596,0.013105785384524575,0.10248438421802739,4.246327604865279
0.1,42,0.014422251938722238,0.015005545551083696,0.10224124711144121,4.838097154153459
0.1,43,0.012516015333867554,0.013525814865702679,0.10240649782231703,3.9436084658010415
0.1,44,0.010373144254077428,0.013204881360640833,0.10189113723896387,4.271543944378673
0.1,45,0.010536651338979961,0.012370896198604833,0.10286282787354185,3.7350092576419676
0.1,46,0.011886938846741434,0.013278625843489936,0.10219009600267046,4.2159092065212125
1.0,42,0.011087687148015725,0.011998205341813716,0.10147573818283437,4.195271717517653
1.0,43,0.01059297472131375,0.012625106994088779,0.10173347643416006,3.6361570379814556
1.0,44,0.011830431027885382,0.014374732433393234,0.10242906756137446,3.5474815713087686
1.0,45,0.016682654665189343,0.01675445872511231,0.10321190650854083,3.4759172486169665
1.0,46,0.013142987362719996,0.013083223227758905,0.10261549598655997,3.7193968849874444
